LocationID,Borough,Zone,service_zone,latitude,longitude,Lat_Long,latitude_dbl,longitude_dbl
138,Queens,LaGuardia Airport,Airports,40.77437570593228,-73.873628642891,40.77437570593228 -73.873628642891,40.77437570593228,-73.873628642891
139,Queens,Laurelton,Boro Zone,40.677097797908836,-73.74423435166719,40.677097797908836 -73.74423435166719,40.677097797908836,-73.74423435166719
140,Manhattan,Lenox Hill East,Yellow Zone,40.765484087889696,-73.95473878380506,40.765484087889696 -73.95473878380506,40.765484087889696,-73.95473878380506
141,Manhattan,Lenox Hill West,Yellow Zone,40.76694821638301,-73.95963474149173,40.76694821638301 -73.95963474149173,40.76694821638301,-73.95963474149173
142,Manhattan,Lincoln Square East,Yellow Zone,40.77363329302687,-73.98153220639178,40.77363329302687 -73.98153220639178,40.77363329302687,-73.98153220639178
143,Manhattan,Lincoln Square West,Yellow Zone,40.77596522876084,-73.98764554944395,40.77596522876084 -73.98764554944395,40.77596522876084,-73.98764554944395
144,Manhattan,Little Italy/NoLiTa,Yellow Zone,40.72088889344507,-73.99691854183824,40.72088889344507 -73.99691854183824,40.72088889344507,-73.99691854183824
145,Queens,Long Island City/Hunters Point,Boro Zone,40.74537943399828,-73.94889145447944,40.74537943399828 -73.94889145447944,40.74537943399828,-73.94889145447944
146,Queens,Long Island City/Queens Plaza,Boro Zone,40.75424252050013,-73.93482888929141,40.75424252050013 -73.93482888929141,40.75424252050013,-73.93482888929141
147,Bronx,Longwood,Boro Zone,40.81967597930474,-73.89895638182651,40.81967597930474 -73.89895638182651,40.81967597930474,-73.89895638182651
148,Manhattan,Lower East Side,Yellow Zone,40.718938359380054,-73.99089626184728,40.718938359380054 -73.99089626184728,40.718938359380054,-73.99089626184728
149,Brooklyn,Madison,Boro Zone,40.60491359556358,-73.94813559494119,40.60491359556358 -73.94813559494119,40.60491359556358,-73.94813559494119
150,Brooklyn,Manhattan Beach,Boro Zone,40.58047327426191,-73.94362872180557,40.58047327426191 -73.94362872180557,40.58047327426191,-73.94362872180557
151,Manhattan,Manhattan Valley,Yellow Zone,40.79796199309987,-73.9681683330924,40.79796199309987 -73.9681683330924,40.79796199309987,-73.9681683330924
152,Manhattan,Manhattanville,Boro Zone,40.81797514762929,-73.95378223705627,40.81797514762929 -73.95378223705627,40.81797514762929,-73.95378223705627
153,Manhattan,Marble Hill,Boro Zone,40.87596780221223,-73.91037866410585,40.87596780221223 -73.91037866410585,40.87596780221223,-73.91037866410585
154,Brooklyn,Marine Park/Floyd Bennett Field,Boro Zone,40.59357083658499,-73.90259658693091,40.59357083658499 -73.90259658693091,40.59357083658499,-73.90259658693091
155,Brooklyn,Marine Park/Mill Basin,Boro Zone,40.61459098927554,-73.91527709386853,40.61459098927554 -73.91527709386853,40.61459098927554,-73.91527709386853
156,Staten Island,Mariners Harbor,Boro Zone,40.63130769285282,-74.16723534170713,40.63130769285282 -74.16723534170713,40.63130769285282,-74.16723534170713
157,Queens,Maspeth,Boro Zone,40.72399507493344,-73.90232968131365,40.72399507493344 -73.90232968131365,40.72399507493344,-73.90232968131365
158,Manhattan,Meatpacking/West Village West,Yellow Zone,40.73503540069646,-74.0089841047852,40.73503540069646 -74.0089841047852,40.73503540069646,-74.0089841047852
159,Bronx,Melrose South,Boro Zone,40.81825974768964,-73.91284939799151,40.81825974768964 -73.91284939799151,40.81825974768964,-73.91284939799151
160,Queens,Middle Village,Boro Zone,40.71833677001358,-73.88005140814955,40.71833677001358 -73.88005140814955,40.71833677001358,-73.88005140814955
161,Manhattan,Midtown Center,Yellow Zone,40.758028043526075,-73.97769793122406,40.758028043526075 -73.97769793122406,40.758028043526075,-73.97769793122406
162,Manhattan,Midtown East,Yellow Zone,40.75668765218863,-73.97235594352028,40.75668765218863 -73.97235594352028,40.75668765218863,-73.97235594352028
163,Manhattan,Midtown North,Yellow Zone,40.76442140578658,-73.97756868222716,40.76442140578658 -73.97756868222716,40.76442140578658,-73.97756868222716
164,Manhattan,Midtown South,Yellow Zone,40.748574629356526,-73.98515639467685,40.748574629356526 -73.98515639467685,40.748574629356526,-73.98515639467685
165,Brooklyn,Midwood,Boro Zone,40.62092404874607,-73.95682460583807,40.62092404874607 -73.95682460583807,40.62092404874607,-73.95682460583807
166,Manhattan,Morningside Heights,Boro Zone,40.809456961125086,-73.96176359682927,40.809456961125086 -73.96176359682927,40.809456961125086,-73.96176359682927
167,Bronx,Morrisania/Melrose,Boro Zone,40.82751255686385,-73.90235177500072,40.82751255686385 -73.90235177500072,40.82751255686385,-73.90235177500072
168,Bronx,Mott Haven/Port Morris,Boro Zone,40.80734716766511,-73.91682193806467,40.80734716766511 -73.91682193806467,40.80734716766511,-73.91682193806467
169,Bronx,Mount Hope,Boro Zone,40.84905837739107,-73.90512221938538,40.84905837739107 -73.90512221938538,40.84905837739107,-73.90512221938538
170,Manhattan,Murray Hill,Yellow Zone,40.74774579364371,-73.97849159965226,40.74774579364371 -73.97849159965226,40.74774579364371,-73.97849159965226
171,Queens,Murray Hill-Queens,Boro Zone,40.768351626308295,-73.80954582099437,40.768351626308295 -73.80954582099437,40.768351626308295,-73.80954582099437
172,Staten Island,New Dorp/Midland Beach,Boro Zone,40.57176889293241,-74.10501900721485,40.57176889293241 -74.10501900721485,40.57176889293241,-74.10501900721485
